Name,Subject,Number,Credits,Description,Restrictions
ITLN 3660 - Italian Culture and Business,ITLN,3660,,A survey of Italian geography and culture that are essential to understand for effective business practices.,
ITLN 3661 - Migrations Across the Mediterranean Sea through Film,ITLN,3661,,An analysis of the geopolitics of migration across the Mediterranean Sea through Italian film.,
JAPN 1201 - Elementary Japanese I,JAPN,1201,,"Acquisition of communicative competence in speaking, listening comprehension, reading, and writing at a beginning level, with attention to cultural awareness.",
JAPN 1202 - Elementary Japanese II,JAPN,1202,,Continuation of JAPN 1201 .,
JAPN 1502 - Global Arts/Humanities: Japanese Studies,JAPN,1502,,"This Global Theme course uses the methods and insights of the social sciences to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of a complex, interconnected world. Students are introduced to critical studies of language and culture through a broad engagement with the influence and presence of Japanese cultures throughout the world. Course materials may draw widely from pop culture, music, cuisine, film, media, the arts, and literature. Taught in English.",
JAPN 2050 - Topics in Japanese,JAPN,2050,,Consideration of a predetermined topic not covered by other JAPN courses.,
JAPN 2201 - Intermediate Japanese I,JAPN,2201,,"Acquisition of communicative competence in speaking, listening comprehension, reading, and writing at an intermediate level, with attention to cultural awareness.",
JAPN 2202 - Intermediate Japanese II,JAPN,2202,,Continuation of JAPN 2201 .,
JAPN 2205 - Japanese Oral Communication,JAPN,2205,,Students explore strategies for effective communication in Japanese. Emphasis is placed on natural and colloquial usage. Conducted primarily in Japanese.,
JAPN 2208 - Japanese Culture and Society,JAPN,2208,,"Explores aspects of Japanese culture, including values, customs, art, mythology, daily life, food, and popular culture, while making connections with their own values and culture.  Students are invited to share similarities and differences they notice between cultures.  Additionally, multiple assignment options are available to allow students to customize their education experience.  Conducted in English; no knowledge of Japanese is required.",
JAPN 2209 - Introduction to Japanese Civilization and Culture,JAPN,2209,,"Conducted in English; no knowledge of Japanese is required.  Geographical, historical, and artistic features of Japanese culture as well as aspects of life, thought, and customs of the Japanese-speaking people.",
JAPN 3040 - Topics in Japanese Culture,JAPN,3040,,Treatment of specific themes in Japanese culture. Conducted in English.,
JAPN 3050 - Topics in the Japanese Language,JAPN,3050,,Consideration of a specific topic related to Japanese language.,
JAPN 3060 - Topics in Japanese Film,JAPN,3060,,"Examines topics in Japanese film and culture, including the creative exchange of transnational influences, the emergence of the Japanese studio system as rival and complement to Hollywood, Japanese films, and global cinema. All materials are examined in historical, social, and aesthetic contexts. Conducted in English.","Sophomore, Junior, or Senior standing."
JAPN 3101 - Kanji through Reading,JAPN,3101,,Guides students to intermediate level of kanji through the acquisition of essential narrative skills. Conducted in Japanese and English.,
Communication Skills Development,JAPN,3105,,"Students work with native Japanese speakers to improve productive communication skills. Continued practice in all four skills: speaking, listening, reading, writing, with a focus on active communication.",
JAPN 3130 - Business and Culture in Japan,JAPN,3130,,"An introduction to the structure, protocol, and cultural concepts of the Japanese-speaking business world. Development of intercultural understanding and communication skills for conducting business in Japan, including study of basic business vocabulary. Conducted in English.","Sophomore, Junior, or Senior standing or permission of department."
JAPN 3140 - Anime and Japanese Popular Culture,JAPN,3140,,"Examines anime  and manga , two of the most important cultural products to appear in the post-war period, as a way of understanding the changing character of contemporary Japanese culture and society. As anime is a rich and diverse medium, students approach it from a variety of perspectives: as art, as social commentary, and as Japanese and global popular culture. Conducted in English.","Sophomore, Junior, or Senior standing or permission of department."
JAPN 3201 - Upper Intermediate Japanese I,JAPN,3201,,Review of Japanese grammar and guided conversation on prepared topics. Emphasis on spoken Japanese.,
JAPN 3202 - Upper Intermediate Japanese II,JAPN,3202,,"Review of Japanese grammar and guided compositions on prepared topics. Emphasis on vocabulary, idiomatic expressions, and stylistics.",
JAPN 3203 - Upper Intermediate Japanese III,JAPN,3203,,"Solidify the grammar, vocabulary, and kanji foundation built during studies at the beginner and second level and expand learners’ four language skills  and socio-cultural knowledge that they need to communicate.",
JAPN 3225 - Short-Term Abroad,JAPN,3225,,Faculty-led short-term study abroad experience offered during Spring Break.,Permission of instructor
JAPN 3400 - Teaching Practicum,JAPN,3400,,"An opportunity for interested students to serve as language assistants in upper- and lower-level Japanese language courses, depending on the student’s proficiency level in Japanese.  Arrangements to take this course should be made during the preceding semester.",Permission of department
JAPN 3800 - Directed Individual Study,JAPN,3800,,"Individual work on a selected area of study with the instructor, generally arranged during the preceding semester.",Permission of department.
JAPN 4040 - Advanced Topics in Japanese Media and Culture,JAPN,4040,,"More advanced study of media and culture in Japan. The specific content will vary each semester, depending on the instructor. Possible topics include: media ecologies/media mix , the history of popular music, photography, contemporary literature/literary criticism, critical/cultural theory, and/or various themes . Taught in English. Japanese language not required.",
JAPN 4050 - Topics in Japanese,JAPN,4050,,Consideration of a predetermined topic not covered by other JAPN courses.,
JAPN 4100 - Japanese Language Proficiency Test (N3) Preparation,JAPN,4100,,Provides preparation for the Japanese Language Proficiency Test  at N3 level.,
JAPN 4101 - Japanese Language Proficiency Test (N2) Preparation,JAPN,4101,,Provides preparation for the Japanese Language Proficiency Test  at N2 level.,
JAPN 4205 - Advanced Japanese Oral Communication,JAPN,4205,,Students are paired with native Japanese speakers via an online conferencing or voice program to improve oral production and communication skills.  Practice in writing as well as speech and oral presentation.,
JAPN 4206 - Advanced Spoken Business Japanese,JAPN,4206,,Provides practical experiences in business Japanese conversation. Students acquire new expressions appropriate for business interactions. Conducted in Japanese.,
JAPN 4207 - Business Japanese Writing,JAPN,4207,,"Students learn the ceremonial elements and templated formal structure of Japanese business writing through class activities centered around key expressions and vocabulary. Activities include creating a CV, writing formal emails and proposals, and translating emails from English to Japanese. Offers advanced Japanese students an opportunity to learn Japanese business communications through writing. This helps develop the skills, vocabulary, and expressions necessary to establish relationships and communicate with Japanese clients through writing. Students learn to write a CV, formal emails, and proposals through class activities centered around key expressions and vocabulary, while learning the ceremonial elements and templated formal structures of Japanese business writings.",
JAPN 4410 - Professional Internship in Japanese,JAPN,4410,,"Faculty-supervised field and/or research experience in a cooperating professional  or community organization . Contents of internship based upon a contractual agreement among the student, department, and business or community organization.",
JAPN 4800 - Directed Individual Study,JAPN,4800,,"Individual work on a selected area study to be arranged with the instructor, generally during the preceding semester, and by special permission only.",Permission of department; Japanese major.
JAPN 4900 - Introductory Research Project,JAPN,4900,,Introduction to research methods and research-based writing in the area of Japanese Studies. Requires students to design and develop an independent project on an approved topic.,
JAPN 4900L - Research Activities in Japan,JAPN,4900L,,Enhances student proficiency in the Japanese language through actual communication and conversation with native speakers of Japanese and through seeking research assistance from Japanese students at their host university.  Requirement for Japanese major students who study abroad in Japan for a semester or longer.  Conducted in Japanese.,
JOUR 2100 - Writing Foundations in Communication Studies,JOUR,2100,,"A self-paced examination of correct grammar, punctuation, and writing style.  Refinement of students’ writing skills for journalism and public relations applications.  Students must pass a test to demonstrate a proficiency in grammar, punctuation, and word usage.","Pre-Communication or Communication Studies major, or Journalism minor."
JOUR 2160 - Introduction to Journalism,JOUR,2160,,"Introduction to the basics of print journalism. Students cover a variety of stories designed to develop news and feature reporting/writing skills. Emphasis is placed on generating story ideas, making ethical news judgments, diversity issues in journalism, gathering information, and writing and editing articles. Students are also introduced to Associated Press style.","Pre-Communication or Communication Studies major, or Journalism minor."
JOUR 3050 - Topics in Journalism,JOUR,3050,,Timely and important areas relevant to journalism.,
JOUR 3160 - Advanced News Reporting and Writing,JOUR,3160,,"This advanced journalism course continues the study of reporting and writing techniques introduced in JOUR 2160 . Course covers news reporting and writing, with emphasis on the print media. Students survey a variety of news sources to become familiar with current events and the various approaches and styles of coverage.",
JOUR 3161 - News Editing,JOUR,3161,,"Basic studies in selection, preparation and presentation of news, with primary emphasis on newspapers. Examination of the effects of competition in multimedia news markets. Emphasis on issues of ethics, fairness and accuracy in news coverage. Diversity and legal guidelines affecting news presentation are reviewed.",
JOUR 3162 - Feature Writing,JOUR,3162,,"In depth feature writing for printed newspapers, magazines and newsletters, as well as online publications. Students select feature topics, conduct interviews and gather relevant information to write and edit stories. Students also learn how to market feature articles.",
JOUR 3163 - Visual Communication in Media,JOUR,3163,,"Course familiarizes the student with principles, theory and techniques of visual communication and explores the role and dynamics of shaping an “image” through the use of visual communication. Students are exposed to the editing and production aspects of communication visually.",
JOUR 3401 - Journalism Practicum,JOUR,3401,,Provides students with practical experience working with Student Media on campus.,
JOUR 4410 - Professional Internship,JOUR,4410,,"Students work 8-10 hours per week  for 3 credit hours, or 16-20 hours  for 6 credit hours in an approved placement.",
KNES 1231 - Introduction to Outdoor Adventure,KNES,1231,,"Introduction to outdoor adventures through active participation in hikes, challenge courses, climbing wall, a solo experience, weekend trips, class discussions and written reflection. Participation in a Venture public trip required, individually selected from Venture’s offerings for the semester. Special fee assessed for the trips.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 2230 - Wilderness Experience,KNES,2230,,"Provides students with a series of progressive challenges, , and time to reflect on and discuss these challenges. The course goals are two-fold; first, to gain deeper understanding of oneself and relationships through participation in in-depth group experiences, and second, to gain the skills and knowledge necessary for planning and conducting one’s own backpacking trips. Field experiences during class and two weekend backpacking trips. A special fee is assessed to cover the costs of the trips.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 2233 - Rock Climbing,KNES,2233,,"Introduction to rock climbing with emphasis on belaying and safety systems, climbing techniques, and the metaphorical and psychological aspects of climbing. Course includes: classroom sessions, use of indoor climbing wall, and weekend trips to outdoor climbing sites. A special fee will be charged to cover the costs of the weekend trips.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 2236 - Challenge Course Activities,KNES,2236,,Immersion in a developmental small group team experience using a wide variety of challenge course activities  The focus is on expanding students’ self-knowledge and understanding of how to work effectively with and lead others.,Outdoor Adventure Leadership minor or permission of instructor.
KNES 2237 - River Management,KNES,2237,,"Prepares students to lead whitewater trips in group contexts such as Outward Bound, summer camps, and Venture’s trips.  The course may cover a variety of whitewater boats, including rafts, canoes, or kayaks as time and student competence allows.  Emphasis is placed on safety, management, and teaching practices as established by the American Canoe Association.  The course requires off-campus trips and a special fee is assessed to cover these costs.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 2238 - White Water Kayaking,KNES,2238,,"Offered in conjunction with the U.S. National Whitewater Center . An introduction to kayaking with an emphasis on; boat control, safety, the Eskimo roll, river reading and whitewater paddling. Students taking this class must be comfortable being immersed in turbulent water. A special fee is assessed.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 2239 - Rock Climbing Management,KNES,2239,,"Intermediate rock climbing with emphasis on setting anchors, managing a rock climbing site, safety systems and rescues, and climbing techniques. Includes: classroom sessions, use of indoor climbing wall, and weekend trips to outdoor climbing sites. A special fee is assessed to cover the costs of the weekend trips",
KNES 3230 - Wilderness Trip Leading,KNES,3230,,The broadly accepted skills and knowledge necessary for leading group adventure trips. Includes spring break backpacking trip and classroom sessions. After successful completion of this course students will be eligible to assist with Venture trips. A special fee is assessed to cover the costs of the trips.,Outdoor Adventure Leadership minor or permission of instructor.
KNES 3235 - Challenge Course Facilitation,KNES,3235,,"Focus on both the technical and facilitation skills and the knowledge necessary for safely and effectively leading groups through high and low challenge courses. In addition to class room sessions, weekend days at the High Team Challenge Course, and observation/apprenticing of actual Venture programs are required.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 3236 - Theory and Foundations of Adventure Education,KNES,3236,,"An exploration of the history, philosophical foundations, proposed outcomes, and operational theories that are common in outdoor adventure education.",Outdoor Adventure Leadership minor or permission of instructor.
KNES 4431 - Outdoor Adventure Leadership Practicum,KNES,4431,,"Capstone course for the Minor in Outdoor Adventure Leadership providing an opportunity to take on a defined leadership role with Venture or other outdoor programs. In addition to actual work in the field, there are professional development requirements and a journal of lessons learned.",Outdoor Adventure Leadership minor or permission of instructor.
LACS 1201 - Elementary Foreign Language I,LACS,1201,,"Fundamentals of grammar and phonetics, reading, writing, and conversation of a selected language.",Permission of department.
LACS 1202 - Elementary Foreign Language II,LACS,1202,,Continuation of 1201.,
LACS 1205 - Accelerated Elementary Foreign Language I and II,LACS,1205,,"Fundamentals of grammar and phonetics, reading, writing, and conversation of a selected language offered at an accelerated pace for students with some background in the language. Equivalent to LACS 1201 and LACS 1202 in one semester. Fulfills a two-semester language requirement.",
LACS 1206 - Intensive Elementary Foreign Language I and II,LACS,1206,,"Fundamentals of grammar and phonetics, reading, writing, and conversation of a selected language offered at an intensive pace for students. No prior knowledge of the language is required. Equivalent to LACS 1201 and LACS 1202 in one semester. Fulfills two-semester foreign language requirement.",
LACS 1502 - Global Arts/Humanities: Introduction to Global Cultures,LACS,1502,,"This Global Theme course uses the methods and insights of the arts and humanities to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of complex, interconnected world. Students have the opportunity to learn about the languages, literatures, and cultures of people and societies across the world. The focus is comparative, with students learning about peoples and cultures from countries that speak at least two different  languages.",
LACS 2050 - Topics in Foreign Language,LACS,2050,,Studies in a selected field of interest.,
LACS 2201 - Intermediate Foreign Language,LACS,2201,,"Grammar review, conversation, composition, and readings based on the culture and civilization.",
LACS 2202 - Intermediate Foreign Language,LACS,2202,,"Grammar, conversation, composition, and readings based on students’ needs.",
"LACS 3050 - Topics in Language, Literature, and Culture",LACS,3050,,Studies in a selected field of interest.,
"LACS 3051 - Topics in Language, Literature, and Culture",LACS,3051,,Studies in a selected field of interest.,
LACS 3160 - European Cinema,LACS,3160,,"Introduction to films of the various national cinemas of Europe and strategies for analyzing and discussing film critically and effectively. Lectures, discussions, viewing films, writing assignments, reviews, critiques, and analyses.","Sophomore, Junior, or Senior standing."
LACS 3201 - Advanced Foreign Language I,LACS,3201,,Review of grammar and guided conversation on prepared topics. Emphasis on spoken language.,
LACS 3202 - Advanced Foreign Language II,LACS,3202,,"Review of grammar and guided compositions on prepared topics. Emphasis on vocabulary, idiomatic expressions, and stylistics.",
LACS 3700 - Methods in Honors Research,LACS,3700,,"The first course in a required two-course sequence for Honors in Languages and Culture Studies. Prepares students for field research and writing of an honors project or thesis. During this course, students are trained in the field of research and writing in the field of Languages and Culture Studies; they develop and revise a research prospectus.  Students must pass with a grade of A .",Permission of instructor.
LACS 3800 - Directed Individual Study,LACS,3800,,"Individual work on a selected area of study. To be arranged with the instructor, generally during the preceding semester, and by special permission only.",Permission of department; normally open only to foreign language majors and minors.
LACS 4050 - Topics in Foreign Language,LACS,4050,,Studies in a selected field of interest.,Senior standing or permission of department.
LACS 4410 - Professional Internship,LACS,4410,,"Offers students a faculty-supervised field and/or research experience in a cooperating professional or community organization in which a language other than English is used to complete tasks. Students gain oral and written proficiency in both English and another language in a professional environment. This course does not convene in a classroom; instead, students complete 120 hours at the site of their assigned internship during 16 weeks of the semester.",Proficiency at 3000 level and permission by department.
LACS 4690 - Senior Seminar,LACS,4690,,"Survey of career options for foreign language majors, directed professional development , and completion of departmental required assessments in the areas of speaking, reading, writing, grammar, and content knowledge of the major.",
LACS 4700 - Honors Project,LACS,4700,,"The second course in the honors sequence.  Directed research and writing of an honors project or thesis.  May be written in English or in target language.  Students must pass with grade of A to receive honors; students who pass with a B or below will receive credit for a 4000-level elective, as well as a W credit.",Permission of Honors Director; minimum GPA of 3.5 in Languages and Culture Studies major or minor; and a cumulative GPA of 3.0.
LACS 4800 - Directed Individual Study,LACS,4800,,"Individual work on a selected area of study. To be arranged with the instructor, generally during the preceding semester, and by special permission only.",Permission of department; normally open only to foreign language majors and minors.
LATN 1201 - Elementary Latin I,LATN,1201,,Beginning survey of elementary Latin grammar through selected readings,
LATN 1202 - Elementary Latin II,LATN,1202,,Completion of the survey of elementary Latin grammar; connected readings in elementary to intermediate Latin prose.,
LATN 2201 - Latin Prose,LATN,2201,,"Extended selected readings in Latin prose of intermediate difficulty: Caesar, Nepos, or Seneca.",
LATN 3800 - Directed Individual Reading,LATN,3800,,Individual work on an author or genre to be arranged with the instructor.,Permission of instructor.
LTAM 1501 - Global Social Science: Introduction to Latin American Politics and Society,LTAM,1501,,"This Global Theme course uses the methods and insights of the social sciences to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of complex, interconnected world. Students are introduced to world society and politics by focusing on the peoples of Latin America and the social dynamics that exist in the societies where they live.",
LTAM 1502 - Global Arts/Humanities: Introduction to Latin American History and Culture,LTAM,1502,,"This Global Theme course uses the methods and insights of the arts and humanities to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of complex, interconnected world. Students are introduced to world art, history, and culture by focusing on key events, people, and societies from Latin America. May not be taken for credit and for a grade if credit has been received for LTAM 1100.",
LTAM 2001 - Topics in Latin American Studies,LTAM,2001,,Analysis of a selected topic related to Latin American Studies. Fulfills an elective in the “Economy and Society” course requirements.,
LTAM 2002 - Topics in Latin American Studies,LTAM,2002,,Analysis of a selected topic related to Latin American Studies. Fulfills an elective in the “Historical Perspective” course requirements.,
LTAM 2003 - Topics in Latin American Studies,LTAM,2003,,Analysis of a selected topic related to Latin American Studies. Fulfills an elective in the “Arts and Literature” course requirements.,
LTAM 2106 - Religion in Latin America,LTAM,2106,,"Examines the diversity of religion in Latin America from the pre-colonial period through the present, with special attention to how the intercultural encounters between Indigenous Americans, Africans, and Europeans have shaped religious identities, practices, and institutions in the region.",
LTAM 2116 - Contemporary Latin America,LTAM,2116,,"A survey of the people and cultures of Mexico, Central America, South America, and the Caribbean. Areas of investigation include religion, race, ethnicity, gender, kinship, social inequality, and economic development.",
LTAM 2117 - Cultures of the Caribbean,LTAM,2117,,"An introduction to society and culture in the Caribbean region. Areas of investigation include ethnicity, nationalism, family and community structure, economy, religion, and politics.",
LTAM 2206 - Colonial Latin America,LTAM,2206,,"A survey of major political, economic, and cultural developments from earliest times to 1826.",
LTAM 2207 - Modern Latin America,LTAM,2207,,A survey of Latin American history from 1826 to the present with emphasis on the economy and society. Special attention to twentieth-century revolutions and the role of the United States in Latin America.,
LTAM 2252 - New World Archaeology,LTAM,2252,,"Prehistory of North America; Paleoindians, Eastern United States, Southwest, Mexico; archaeological methods and theory.",
"LTAM 2270 - Latino/as in the United States, 1846 to Present",LTAM,2270,,"A survey of the diverse Latino/a experience in the United States from the Mexican-American War to the present, with emphasis on the twentieth century and contemporary issues.  Themes include colonialism, immigration policies, transmigration, labor, rural and urban life, culture, political and environmental activism, and race relations.",
LTAM 3001 - Advanced Topics in Latin American Studies,LTAM,3001,,Analysis of a selected topic related to Latin American Studies.  Fulfills an elective in the “Economy and Society” course requirements. The particular topic of the course may vary from semester to semester.,
LTAM 3002 - Advanced Topics in Latin American Studies,LTAM,3002,,Analysis of a selected topic related to Latin American Studies.  Fulfills an elective in the “Historical Perspectives” course requirements. The particular topic of the course may vary from semester to semester.,
LTAM 3003 - Advanced Topics in Latin American Studies,LTAM,3003,,Analysis of a selected topic related to Latin American Studies.  Fulfills an elective in the “Arts and Literature” course requirements. The particular topic of the course may vary from semester to semester.,
LTAM 3120 - Spanish for Business and International Trade,LTAM,3120,,"Introduction to spoken and written language of the Spanish-speaking business world.  Acquisition of and practice with general commercial terminology used in Spanish for such functional business areas as economics, management, marketing, finance, and import-export.",
LTAM 3129 - Cultural Dimension of Doing Business with Spanish-Speaking Countries,LTAM,3129,,Development of cultural awareness for conducting business with Spanish-speaking countries and U.S. Hispanic communities. Conducted in English.,
LTAM 3144 - Latin American Politics,LTAM,3144,,"Comparative overview of political and socio-economic change in Latin America from the colonial period to the present. Primary emphasis on Latin American politics in the twentieth century, competing political ideologies, socio-economic issues, international political economy, and internal political change.",
LTAM 3154 - Political Economy of Latin America,LTAM,3154,,"Intersections of politics and economics in Latin America, focusing on the efforts to foster economic development in the region. Emphasis on post-World War II era. Topics include: debt management, dependency theory, impact of free market theories, and the power of labor movements.",
LTAM 3164 - U.S.-Latin American Relations,LTAM,3164,,"Addresses the always-complicated and often-conflictive relationship between Latin American and the United States. Particular attention to critical contemporary issues such as the drug trade, immigration, international trade, humanitarian aid and U.S. policy toward Cuba.",
LTAM 3190 - Political Economy of the Caribbean,LTAM,3190,,An examination of the manifestations of Caribbean economic problems and policies and Caribbean political development from the post-war period to the present.,
LTAM 3220 - The Caribbean from Slavery to Independence,LTAM,3220,,"Covering the sweep of history from European/indigenous contact, through the construction of a plantation regime based on African slave labor, and up to the present day, this course explores the spread of colonialism, the dynamics of slavery, and the tumult of abolition and national independence movements. The Caribbean Sea will be examined as a region, emphasizing the ties uniting the islands and the circum-Caribbean coasts. The region’s past - including empire and imperial conflict, racial oppression and interaction, and international contact - and its legacies will be discussed in relation to political economics, race, and contemporary culture.",
LTAM 3255 - Ancient Latin America,LTAM,3255,,"Archaeology and ethnohistory of the Aztecs, Maya, Inca, and their predecessors; includes an investigation of prehistoric urbanism, the rise and fall of complex societies, and the application of archaeological methods to complex societies.",
LTAM 3257 - South American Prehistory,LTAM,3257,,"Archaeology of the indigenous cultures in South America from the earliest settlement until the arrival of the Spanish, including Moche, Nasca, and Inca; focus on the Central Andean region including Peru, Bolivia, Chile, and Ecuador; examination of the origins of agriculture, interactions of people and the environment, rise and collapse of states and empires, and the role of religion and warfare in ancient societies.",
"LTAM 3260 - Slavery, Racism, and Colonialism in the African Diaspora",LTAM,3260,,"This course is designed to explore how race and racism, slavery, and colonialism served as principal institutions and constructs shaping the experience between Africa and the emerging African Diaspora in the New World. Students will consider how the maintenance of Western social, economic, and political superiority materialized as functions of these three important historical developments.",
LTAM 3270 - Afro-Latin American History,LTAM,3270,,"This course explores the African Diaspora in Latin America ranging from the Caribbean Sea to the Rio de la Plata. From slavery, to fighting for freedom in the Spanish- American Wars of Independence, to forging new notions of citizenship in twentieth century Brazil, African-descended peoples have an important place in Latin America’s historical past. According special attention to regions with concentrated populations of African-descended peoples, this course reveals the vibrant history of Afro-Latin America.",
LTAM 3274 - Resistance and Adaptation: Indian Peoples Under Spanish Rule,LTAM,3274,,"An historical examination of the interactions of indigenous peoples of the western hemisphere with Spanish colonial authorities from the conquest era to 1825.  Focuses on the indigenous peoples of Mexico, Peru, Chile, and Argentina.",
"LTAM 3275 - Reform, Riots, and Rebellions in Colonial Spanish America, 1692-1825",LTAM,3275,,"An examination of the economic, political, and cultural origins of violent conflict in colonial Latin America, culminating with an analysis of the revolutions for independence.",
LTAM 3276 - History of Mexico,LTAM,3276,,"An examination of Mexican history from pre-Columbian times to the present.  Special emphasis is given to the Spanish conquest, the colonial economy, the independence period, the revolution, and relations with the United States.  Meets non-Western requirement.",
LTAM 3277 - The Cuban Revolution,LTAM,3277,,An examination of the economic and political forces that led to the Cuban revolution. Significant background material from the 19th and early 20th centuries are presented in addition to an analysis of the revolution and post‑revolutionary events.,
LTAM 3278 - History of Brazil,LTAM,3278,,"A study of Brazilian history since 1500, with an emphasis on social and economic history. The course emphasizes slavery and race relations, the emergence of export economics, rural protest movements, the effects of urbanization and industrialization, and the rise and fall of the military dictatorship. Meets non-Western requirement.",
LTAM 3279 - Authoritarianism in Latin America,LTAM,3279,,"A study of authoritarian rule and resistance thereto in one or more selected Latin American countries, including but not limited to Argentina, Brazil, and Chile.",
LTAM 3301 - Mexica (Aztec) Art,LTAM,3301,,"Survey of the cultures, artistic production and architecture of the Central Mexico region from c. 1300 to the period of European invasion in the 16th century. Readings and discussions focus on artistic traditions, daily life, and political structures.",
LTAM 3308 - Introduction to Literary Analysis,LTAM,3308,,Continued work with vocabulary building and reading skills.  Introduction to the theory and practice of reading literary texts in Spanish.,
LTAM 3309 - Masterpieces of Hispanic Literature in English Translation,LTAM,3309,,Advanced studies of Spanish or Spanish-American literature in English translation. Conducted in English.,"Sophomore, Junior, or Senior standing."
LTAM 3310 - Spanish American Civilization and Culture,LTAM,3310,,Introduction to the cultural heritage of Spanish America.,
LTAM 3313 - Pre-Columbian Art,LTAM,3313,,"Survey of the arts and architecture of the Americas before European contact in the 16th century. Special emphasis on the interactions of religion, social systems, and the arts as well as identification of ethnic styles of art. Discussions of readings, lectures, slides and video tapes. Essay exams.",
LTAM 3319 - Hispanic Women Writers in English Translation,LTAM,3319,,Examination of prose and poetry by women writers from Spain and the Americas to understand women’s voices and other cultures. Conducted in English; knowledge of Spanish not required.,"Sophomore, Junior, or Senior standing."
LTAM 3360 - Studies in Hispanic Film,LTAM,3360,,"The study of Spanish, Spanish American and/or Hispanic/Latino films. Course conducted in English.",
LTAM 3361 - Studies in Latin American Film,LTAM,3361,,The study of Latin American film.  Conducted in English.,
LTAM 3362 - Studies in US Latino/a Cinema,LTAM,3362,,"Despite belonging to the largest minority group in the United States, Latinos/as in this country have historically not enjoyed significant representation in Hollywood. Nevertheless, in recent years, there has been a handful of excellent films-both independent and even in Hollywood-that explore Latino/a identity in America.  In this course, several films are watched and discussed that demonstrate how race, ethnicity, gender, and the family come together to create unique circumstances for people of Latin American descent, particularly youth, when they come to this country.",
LTAM 3400 - Latin American Studies Internship,LTAM,3400,,Practical experience and/or training related to Latin American studies. A minimum of 45 hours per credit.,Permission of coordinator.
LTAM 3800 - Independent Study,LTAM,3800,,Supervised investigation of an issue related to Latin American Studies that is of special interest to the student and that is not covered in existing or available courses.,
LTAM 4010 - Special Topics in Latin American Social Science,LTAM,4010,,"Includes courses from disciplines like Anthropology, Geography, Political Science, Sociology, etc.",
LTAM 4020 - Topics in Latin American Historiography,LTAM,4020,,Research seminar examining scholarly trends and debates in the field of Latin American History.  Meets the LTAM major historiography requirements. Students must achieve a grade of C or above to satisfy major requirements.,
LTAM 4030 - Topics in Latin American Humanities,LTAM,4030,,"Special topics in Latin American humanities. Courses focus on the artists, philosophers, writers, and other cultural production and cultural producers from Latin America.",
LTAM 4116 - Culture and Conflict in the Amazon,LTAM,4116,,"This course examines the development strategies Brazil has used in the Amazon and explores how these policies have affected both the environment and the various populations living in the Amazon. Topics covered include environmental degradation, human rights abuses, culture change, migration, and globalization.",
LTAM 4120 - Advanced Business Spanish I,LTAM,4120,,"Advanced studies in Business Spanish, intensive intercultural communication practice in speaking, listening comprehension, reading, writing, and translation/interpretation in functional business areas such as economics, management, banking, accounting, real estate, office systems, and human resources.",
LTAM 4121 - Advanced Business Spanish II,LTAM,4121,,"Advanced studies in Business Spanish, intensive practice in speaking, listening comprehension, reading, writing, and translation in functional business areas such as marketing, finance, and import-export.",
LTAM 4302 - Caribbean Literature in English,LTAM,4302,,"Topics include: loneliness, quest for identity, nationalism, protest, and the use of patois.",Junior or Senior standing.
LTAM 4309 - Introduction to Spanish American Literature,LTAM,4309,,Introduction to the literary heritage of Spanish America. Reading and analysis of representative works.,
LTAM 4310 - Studies in Spanish American Poetry,LTAM,4310,,"Studies of colonial, post-independence, twentieth century, and contemporary Spanish American poetry.",
LTAM 4311 - Studies in Spanish American Prose Fiction,LTAM,4311,,"Studies of colonial, post-independence, twentieth century, and contemporary Spanish American prose fiction.",
LTAM 4312 - Studies in Spanish American Theater,LTAM,4312,,"Studies of colonial, post-independence, twentieth century, and contemporary Spanish American theater.",
LTAM 4314 - Studies in Hispanic Children’s Literature,LTAM,4314,,Literary works in Spanish written for children.,
LTAM 4315 - Studies in Regional Literature of the Americas,LTAM,4315,,"Studies of Mexican, Central American, Caribbean, Andean, Amazonian, or Southern Cone literature. Readings from representative works. Works from non-Spanish-speaking areas read in Spanish translation.",
"LTAM 4316 - Social, Political, Cultural, Economic Issues in Hispanic Literature",LTAM,4316,,Contextual issues surrounding Hispanic literature.,
LTAM 4317 - Topics in Hispanic Culture and Civilization,LTAM,4317,,"Various topics involving the fine arts: music, dance, art, film. Applicable toward Spanish major or minor only when taught in Spanish.",
LTAM 4318 - Cuban Literature,LTAM,4318,,Cuban literary works in Spanish.,
LTAM 4350 - Studies in Latin American Literature,LTAM,4350,,Study of a predetermined topic in Latin American literature.,
